english,urdu_ref,urdu_google,urdu_meta,bleu_google,bleu_meta
is zain your nephew,زین تمہارا بھتیجا ہے۔,زین تمہارا بھتیجا ہے۔,تمہاری بہن بہن ہے,100.00000000000004,0.0
i wish youd trust me,کاش تم مجھ پر بھروسہ کرتے,کاش تم مجھ پر بھروسہ کرتے,میں چاہتا ہوں کہ نوجوان مجھے بھروسہ کریں,100.00000000000004,5.522397783539471
did he touch you,کیا اس نے آپ کو چھوا؟,کیا اس نے آپ کو چھوا؟,وہ تمہیں لمس کرتی ہے,100.00000000000004,0.0
its part of life,اس کی زندگی کا حصہ,اس کی زندگی کا حصہ,زندگی کا حصہ,100.00000000000004,51.341711903259224
zain isnt ugly,زین بدصورت نہیں ہے۔,زین بدصورت نہیں ہے۔,زینب برا نہیں ہے,100.00000000000004,15.97357760615681
above all be patient,سب سے بڑھ کر صبر کرو,سب سے بڑھ کر صبر کرو,سب سے پہلے صبر کرنا,100.00000000000004,19.357693493908812
i learned it from him,میں نے اسے اس سے سیکھا۔,میں نے اسے اس سے سیکھا۔,میں نے اس سے سیکھا,100.00000000000004,24.736929544091932
why am i doing this,میں یہ کیوں کر رہا ہوں,میں یہ کیوں کر رہا ہوں,میں یہ کیوں کرتا ہوں,100.00000000000004,34.98330125272251
i made a bad decision,میں نے ایک برا فیصلہ کیا,میں نے ایک برا فیصلہ کیا,میں نے ایک برا فیصلہ کیا,100.00000000000004,100.00000000000004
zain wont care,زین پرواہ نہیں کرے گا,زین پرواہ نہیں کرے گا,زینب کی دیکھ بھال,100.00000000000004,0.0
zain was hesitant,زین ہچکچا رہا تھا,زین ہچکچا رہا تھا,زینب کے مترادفات,100.00000000000004,0.0
i borrowed zains car,میں نے زین گاڑی ادھار لی,میں نے زین گاڑی ادھار لی,میں نے گاڑیاں قرض دیا,100.00000000000004,17.491650626361256
why are you out here,تم یہاں کیوں باہر ہو,تم یہاں کیوں باہر ہو,تم یہاں کیوں آتے ہو,100.00000000000004,42.7287006396234
he is just a liar,وہ صرف جھوٹا ہے۔,وہ صرف جھوٹا ہے۔,وہ صرف ایک جھوٹ ہے,100.00000000000004,21.3643503198117
were almost done,تقریباً ہو گیا,تقریبا مکمل ہو چکے تھے,تقریبا ختم ہو گیا,10.682175159905853,31.947155212313625
what is happening,کیا ہو رہا ہے آج کل,کیا ہو رہا ہے,کیا ہو رہا ہے,60.653065971263366,60.653065971263366
zain betrayed us,زین نے ہمیں دھوکہ دیا۔,زین نے ہمیں دھوکہ دیا۔,زینب نے ہمیں دھوکہ دیا,100.00000000000004,39.76353643835254
zain goofed,زین بیوقوف,زین بیوقوف,زینب گھوڑے,100.00000000000004,0.0
everythings fine,سب ٹھیک ہے,سب کچھ ٹھیک ہے,ہر چیز ٹھیک ہے,35.35533905932737,31.947155212313625
is it for here,کیا یہ یہاں کے لیے ہے؟,کیا یہ یہاں کے لیے ہے؟,یہ یہاں کے لئے ہے,100.00000000000004,32.55563013321615
did zain give you that,زین نے تمہیں وہ دیا,زین نے تمہیں وہ دیا,میں نے تمہیں یہ دیا ہے,100.00000000000004,17.965205598154213
come on wake up,آؤ اٹھو,آؤ اٹھو,بیدار ہو جاؤ,100.00000000000004,0.0
zain needs the ladder,زین کو سیڑھی کی ضرورت ہے۔,زین کو سیڑھی کی ضرورت ہے۔,زینب کو پتھر کی ضرورت ہے,100.00000000000004,17.965205598154213
i am not tired yet,میں ابھی تک نہیں تھکا,میں ابھی تک نہیں تھکا ہوں۔,میں ابھی تک تھکا نہیں ہوں,75.98356856515926,34.32945239845197
i am very tired,میں بہت تھکا ہوا ہوں,میں بہت تھکا ہوا ہوں,میں بہت تھکا ہوا ہوں,100.00000000000004,100.00000000000004
he is full of energy,وہ توانائی سے بھرا ہوا ہے,وہ توانائی سے بھرا ہوا ہے,وہ طاقت سے بھرا ہوا ہے,100.00000000000004,53.7284965911771
i have got no worries,مجھے کوئی پریشانی نہیں ہے۔,مجھے کوئی پریشانی نہیں ہے۔,مجھے کوئی پریشانی نہیں,100.00000000000004,77.88007830714052
